pdp_url,prices,product_id,product_description,color,product_type
https://www.pullandbear.com/ae/mickey-mouse-hoodie-l07650516,219.00,703710244,"Mickey Mouse license sweatshirt with a hood, long sleeves, and a kangaroo pocket, with a graphic on the front and back.",['Grey marl'],Clothing
https://www.pullandbear.com/ae/short-sleeve-tshirt-with-graphic-and-slogan-l07151576,99.00,698625082,"Short sleeve T-shirt with a slogan on the front and a slogan graphic on the back, with a crew neck. Made of cotton.",['Maroon'],Clothing
https://www.pullandbear.com/ae/playstation-x-stwd-panelled-hoodie-l07160516,269.00,699722889,"PlayStation licensed hoodie with a panelled design, a contrast graphic on the front and back, a pouch pocket, and made from a cotton blend.",['Black'],Clothing
https://www.pullandbear.com/ae/panelled-playstation-x-stwd-tshirt-l07152530,219.00,699722891,"PlayStation licensed T-shirt with a multi-tone panel design, a contrast graphic, long sleeves and a round neck.",['Black'],Clothing
https://www.pullandbear.com/ae/2pack-of-beaded-necklaces-l07902510,99.00,700847260,Pack of 2 beaded necklaces featuring a spiral pendant.,['Others'],Clothing
https://www.pullandbear.com/ae/vest-graphic-tshirt-l07151574,99.00,716676259,"Short sleeve T-shirt with a vest graphic featuring an STWD logo on the straps, with a round neck and made of cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/frayed-zipup-hoodie-l07560527,269.00,716676260,"Hoodie with zip fastening, STWD embroidery on the front, a pouch pocket and frayed finishes.","['Off white', 'Anthracite grey']",Clothing
https://www.pullandbear.com/ae/acidwash-stwd-sweater-l07550515,219.00,716676261,"Knit sweater with a round neck, STWD logo on the front and ribbed trims.","['Faded black', 'Sand']",Clothing
https://www.pullandbear.com/ae/stwd-text-tshirt-l07151573,99.00,716676262,"Short sleeve T-shirt with a contrast graphic and STWD text on the front and back, with a round neck and made of cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/snoopy-mesh-tshirt-l07152921,189.00,716676269,"Boxy short sleeve Snoopy licence T-shirt, featuring a Peanuts graphic and a contrasting number 50, with a round neck and crafted from mesh fabric.",['Red'],Clothing
https://www.pullandbear.com/ae/snoopy-white-sweatshirt-l07151937,189.00,716676270,"Snoopy license white sweatshirt, featuring a contrast Peanuts graphic, a round neck and made of cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/snoopy-striped-polo-shirt-l07152923,169.00,716676271,"Snoopy license striped polo shirt with short sleeves, a contrast Peanuts graphic, and made of a cotton blend.",['Striped'],Clothing
https://www.pullandbear.com/ae/mickey-mouse-hoodie-l07160917,219.00,703079602,"Mickey Mouse license hoodie with a hood, a contrasting graphic and a kangaroo pocket.",['Off white'],Clothing
https://www.pullandbear.com/ae/mickey-mouse-short-sleeve-tshirt-l07152550,169.00,715295924,"Mickey Mouse license short sleeve T-shirt in a football style, with a number and Mickey Mouse graphic on the front, stripes on the sleeves, and made from 100% cotton.",['Navy'],Clothing
https://www.pullandbear.com/ae/relaxed-fit-baggy-jeans-l07683515,219.00,713555124,"Relaxed fit baggy jeans with a five-pocket design, belt loops and zipper fly and top button fastening.","['Pale indigo', 'Sand', 'Greenish blue', 'Lavender blue', 'Greenish', 'Black', 'Reddish', 'Navy']",Clothing
https://www.pullandbear.com/ae/mickey-mouse-blue-tshirt-l07152914,119.00,703079606,"Mickey Mouse license blue T-shirt with a contrast graphic, short sleeves, a round neck and made of cotton.",['Navy'],Clothing
https://www.pullandbear.com/ae/mickey-mouse-tshirt-l07152552,119.00,703079613,"Mickey Mouse license T-shirt, with short sleeves and a round neck, featuring a graphic on the front and back, made of 100% cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/baggy-cargo-jeans-l07687511,219.00,716676288,"Baggy cargo jeans with flap pockets on the leg, belt loops, zipper fly and top button fastening, and made from 100% cotton.","['Medium blue', 'Pale indigo', 'Dark grey', 'Faded black']",Clothing
https://www.pullandbear.com/ae/bell-bottom-jeans-l07687516,219.00,716676292,"Bell bottom jeans with a five-pocket design, belt loops, and a zipper fly and top button fastening. Made from cotton.","['Pale blue', 'Medium blue', 'Faded black']",Clothing
