unique_id,product_name,regular_price,selling_price,percentage_discount,breadcrumb,pdp_url,uom
795890,"Danone YoPro sovány joghurt eperrel, édesítőszerekkel 160 g",,395,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Danone YoPro sovány joghurt eperrel, édesítőszerekkel 160 g","https://auchan.hu/shop/danone-yopro-sovány-joghurt-eperrel,-édesítőszerekkel-160-g.p-932977",g
782729,"Danone YoPro sztracsatellaízű sovány joghurt édesítőszerekkel, magnéziummal és folsavval 160 g",,395,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > light-gyumolcsjoghurtok > Danone YoPro sztracsatellaízű sovány joghurt édesítőszerekkel, magnéziummal és folsavval 160 g","https://auchan.hu/shop/danone-yopro-sztracsatellaízű-sovány-joghurt-édesítőszerekkel,-magnéziummal-és-folsavval-160-g.p-763969",g
720260,Danone Oikos élőflórás epres krémjoghurt 125 g,,146,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos élőflórás epres krémjoghurt 125 g,https://auchan.hu/shop/danone-oikos-élőflórás-epres-krémjoghurt-125-g.p-827929,g
719507,Danone Oikos élőflórás meggyes krémjoghurt 125 g,,146,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos élőflórás meggyes krémjoghurt 125 g,https://auchan.hu/shop/danone-oikos-élőflórás-meggyes-krémjoghurt-125-g.p-827706,g
66374,Zott Jogobella élőflórás joghurt 150 g,,157,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Zott Jogobella élőflórás joghurt 150 g,https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-150-g.p-929738,g
581308,Danone Oikos Édes Kettes élőflórás édesített joghurt eperszósszal 118 g,,242,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Édes Kettes élőflórás édesített joghurt eperszósszal 118 g,https://auchan.hu/shop/danone-oikos-édes-kettes-élőflórás-édesített-joghurt-eperszósszal-118-g.p-634905,g
581305,Danone Oikos Édes Kettes élőflórás édesített joghurt meggyszósszal 118 g,,242,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Édes Kettes élőflórás édesített joghurt meggyszósszal 118 g,https://auchan.hu/shop/danone-oikos-édes-kettes-élőflórás-édesített-joghurt-meggyszósszal-118-g.p-634904,g
750072,Danone Oikos Édes Kettes élőflórás édesített joghurt piros gyümölcsös szósszal 118 g,,242,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Édes Kettes élőflórás édesített joghurt piros gyümölcsös szósszal 118 g,https://auchan.hu/shop/danone-oikos-édes-kettes-élőflórás-édesített-joghurt-piros-gyümölcsös-szósszal-118-g.p-871009,g
30208,Landliebe őszibarackos-maracujás vagy szeder joghurt 150 g,,332,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Landliebe őszibarackos-maracujás vagy szeder joghurt 150 g,https://auchan.hu/shop/landliebe-őszibarackos-maracujás-vagy-szeder-joghurt-150-g.p-785342,g
750075,Danone Oikos Édes Kettes élőflórás édesített joghurt csokoládéval bevont kukoricapelyhekkel 102 g,,339,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Édes Kettes élőflórás édesített joghurt csokoládéval bevont kukoricapelyhekkel 102 g,https://auchan.hu/shop/danone-oikos-édes-kettes-élőflórás-édesített-joghurt-csokoládéval-bevont-kukoricapelyhekkel-102-g.p-871011,g
782738,Danone Oikos Habdesszert habosított tejtermék meggyes öntettel 125 g,,349,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Habdesszert habosított tejtermék meggyes öntettel 125 g,https://auchan.hu/shop/danone-oikos-habdesszert-habosított-tejtermék-meggyes-öntettel-125-g.p-763972,g
100426,Danone banánízű és erdei gyümölcsízű élőflórás zsírszegény joghurt 4 x 125 g (500 g),,599,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone banánízű és erdei gyümölcsízű élőflórás zsírszegény joghurt 4 x 125 g (500 g),https://auchan.hu/shop/danone-banánízű-és-erdei-gyümölcsízű-élőflórás-zsírszegény-joghurt-4-x-125-g-(500-g).p-86845,g
100480,"Danone citromízű, élőflórás, zsírszegény joghurt 4 x 125 g (500 g)",,599,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone citromízű, élőflórás, zsírszegény joghurt 4 x 125 g (500 g)","https://auchan.hu/shop/danone-citromízű,-élőflórás,-zsírszegény-joghurt-4-x-125-g-(500-g).p-87139",g
100429,"Danone eperízű, élőflórás, zsírszegény joghurt 4 x 125 g",,599,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone eperízű, élőflórás, zsírszegény joghurt 4 x 125 g","https://auchan.hu/shop/danone-eperízű,-élőflórás,-zsírszegény-joghurt-4-x-125-g.p-86846",g
100432,"Danone meggyízű, élőflórás, zsírszegény joghurt 125 g",,599,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone meggyízű, élőflórás, zsírszegény joghurt 125 g","https://auchan.hu/shop/danone-meggyízű,-élőflórás,-zsírszegény-joghurt-125-g.p-86848",g
100435,"Danone sárgabarackízű, élőflórás, zsírszegény joghurt 125 g",,599,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone sárgabarackízű, élőflórás, zsírszegény joghurt 125 g","https://auchan.hu/shop/danone-sárgabarackízű,-élőflórás,-zsírszegény-joghurt-125-g.p-86849",g
22297,"Danone Oikos Görög citromos túrótortaízű, élőflórás krémjoghurt 4 x 125 g",,849,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Görög citromos túrótortaízű, élőflórás krémjoghurt 4 x 125 g","https://auchan.hu/shop/danone-oikos-görög-citromos-túrótortaízű,-élőflórás-krémjoghurt-4-x-125-g.p-688384",g
506856,Danone Oikos Görög élőflórás almás pite ízű krémjoghurt 4 x 125 g,,849,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Görög élőflórás almás pite ízű krémjoghurt 4 x 125 g,https://auchan.hu/shop/danone-oikos-görög-élőflórás-almás-pite-ízű-krémjoghurt-4-x-125-g.p-494614,g
15718,"Danone Oikos Görög kekszízű, élőflórás krémjoghurt 4 x 125 g",,849,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Görög kekszízű, élőflórás krémjoghurt 4 x 125 g","https://auchan.hu/shop/danone-oikos-görög-kekszízű,-élőflórás-krémjoghurt-4-x-125-g.p-526592",g
15913,Danone Oikos Görög stracciatellaízű élőflórás krémjoghurt 4 x 125 g,,849,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos Görög stracciatellaízű élőflórás krémjoghurt 4 x 125 g,https://auchan.hu/shop/danone-oikos-görög-stracciatellaízű-élőflórás-krémjoghurt-4-x-125-g.p-531641,g
534449,Danone Oikos málnás sajttorta ízű krémjoghurt 4 x 125 g,,849,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Danone Oikos málnás sajttorta ízű krémjoghurt 4 x 125 g,https://auchan.hu/shop/danone-oikos-málnás-sajttorta-ízű-krémjoghurt-4-x-125-g.p-535828,g
533630,Auchan Kedvenc görög joghurt citrom ízű 4x150 g,,901,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Auchan Kedvenc görög joghurt citrom ízű 4x150 g,https://auchan.hu/shop/auchan-kedvenc-görög-joghurt-citrom-ízű-4x150-g.p-470399,g
512493,Auchan Kedvenc Vanília ízű görög joghurt 4x150 g,,907,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Auchan Kedvenc Vanília ízű görög joghurt 4x150 g,https://auchan.hu/shop/auchan-kedvenc-vanília-ízű-görög-joghurt-4x150-g.p-470398,g
64949,"Auchan Kedvenc Görög joghurt őszibarack- , körte ízesítésű 4 x 150 g",,1009,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Auchan Kedvenc Görög joghurt őszibarack- , körte ízesítésű 4 x 150 g","https://auchan.hu/shop/auchan-kedvenc-görög-joghurt-őszibarack--,-körte-ízesítésű-4-x-150-g.p-842383",g
64946,"Auchan Kedvenc Görög joghurt szeder-,  málna ízesítésű 4 x 150 g",,1018,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > izesitett-joghurtok > Auchan Kedvenc Görög joghurt szeder-,  málna ízesítésű 4 x 150 g","https://auchan.hu/shop/auchan-kedvenc-görög-joghurt-szeder-,-málna-ízesítésű-4-x-150-g.p-842382",g
625720,"Nádudvari élőflórás, barackos, zsírszegény gyümölcsjoghurt 125 g",,122,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Nádudvari élőflórás, barackos, zsírszegény gyümölcsjoghurt 125 g","https://auchan.hu/shop/nádudvari-élőflórás,-barackos,-zsírszegény-gyümölcsjoghurt-125-g.p-748241",g
625717,"Nádudvari élőflórás, epres, zsírszegény gyümölcsjoghurt 125 g",,122,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Nádudvari élőflórás, epres, zsírszegény gyümölcsjoghurt 125 g","https://auchan.hu/shop/nádudvari-élőflórás,-epres,-zsírszegény-gyümölcsjoghurt-125-g.p-748240",g
585089,Nádudvari réteges élőflórás krémjoghurt áfonyával 180 g,,199,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Nádudvari réteges élőflórás krémjoghurt áfonyával 180 g,https://auchan.hu/shop/nádudvari-réteges-élőflórás-krémjoghurt-áfonyával-180-g.p-656803,g
585092,Nádudvari réteges élőflórás krémjoghurt erdei gyümölcsökkel 180 g,,199,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Nádudvari réteges élőflórás krémjoghurt erdei gyümölcsökkel 180 g,https://auchan.hu/shop/nádudvari-réteges-élőflórás-krémjoghurt-erdei-gyümölcsökkel-180-g.p-656804,g
585086,Nádudvari réteges élőflórás krémjoghurt kajszibarackkal 180 g,,199,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Nádudvari réteges élőflórás krémjoghurt kajszibarackkal 180 g,https://auchan.hu/shop/nádudvari-réteges-élőflórás-krémjoghurt-kajszibarackkal-180-g.p-656802,g
782888,Zilda epres joghurt 250 ml,,350,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Zilda epres joghurt 250 ml,https://auchan.hu/shop/zilda-epres-joghurt-250-ml.p-850975,ml
782891,Zilda meggyes joghurt 250 ml,,350,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Zilda meggyes joghurt 250 ml,https://auchan.hu/shop/zilda-meggyes-joghurt-250-ml.p-851042,ml
783494,Zilda sült almás joghurt 250 ml,,350,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Zilda sült almás joghurt 250 ml,https://auchan.hu/shop/zilda-sült-almás-joghurt-250-ml.p-851043,ml
96815,Auchan Kedvenc Áfonyás réteges joghurt 200 g,,377,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > reteges-gyumolcs-joghurt > Auchan Kedvenc Áfonyás réteges joghurt 200 g,https://auchan.hu/shop/auchan-kedvenc-áfonyás-réteges-joghurt-200-g.p-19868,g
